sample_id	MS1_TIC_median	MS1_TIC_CV	MS2_precursor_events	MS1_frames	MS2_frames	Gradient_min
284_Staphylococcus_pasteuri_DSM10657_DDA100_4416	843081.0	1.080322402243235	29569	1022	5333	11.496942350000001
001_Achromobacter_xylosoxidans_HST_62_DDA100_5422	2080260.0	1.0628427252804322	37560	993	5370	11.498184983333335
003_Acinetobacter_baumannii_DSM30011_DDA100_5340	5986983.0	0.9993392160522938	39800	940	5435	11.496826266666666
004_Aeromonas_hydrophila_ssp_hydrophila_DSM30183_DDA100_5418	1523139.5	1.0753074291923557	35505	996	5366	11.497922716666666
014_Bacillus_atrophaeus_LSSC3_DDA100_5386	1893010.0	1.0718403454465766	38871	1002	5357	11.496922616666666
016_Bacillus_cereus_ATCC10987_DDA100_5362	785994.5	1.0859988997211396	39129	1024	5331	11.498255416666666
018_Bacillus_atrophaeus_GBSC56_DDA100_5358	3156682.0	1.0688368847150687	40322	997	5364	11.497117166666667
019_Bacillus_atrophaeus_NMTD54_DDA100_5348	563971.0	1.100060484206549	41054	1039	5312	11.498159316666666
020_Bacillus_atrophaeus_TS1_DDA100_5378	754654.5	1.0894322777253236	38613	1022	5335	11.497581416666666
024_Bacillus_cereus_DSM31_DDA100_5324	605628.0	1.1080691298833285	37750	1029	5325	11.498421766666667
026_Bacillus_halotolerans_LNXM37_DDA100_5346	5662884.0	1.0281019120986263	41591	973	5396	11.497719716666667
028_Bacillus_safensis_GBSW22_DDA100_5388	1570240.0	1.07288752934489	39688	1009	5348	11.496892316666667
030_Bacillus_sp._LLTC93_DDA100_5342	585094.0	1.1019666730884285	38734	1032	5320	11.498110916666667
032_Bacillus_sp._RJGP41_DDA100_5390	3415648.0	1.0578481072681312	37384	982	5385	11.498461266666668
034_Bacillus_subtilis_ssp_subtilis_SYST2_DDA100_5364	597289.0	1.0981828750546645	39457	1031	5322	11.497027833333334
036_Bacillus_subtilis_ssp_subtilis_NMSX4_DDA100_5370	584404.5	1.096031291675979	39938	1030	5324	11.497124216666666
038_Bacillus_subtilis_DSM10_DDA100_5352	937114.0	1.0845653491357727	40032	1023	5334	11.498025533333333
040_Bacillus_thuringiensis_GBAC46_DDA100_5384	3071468.0	1.0599993232450982	38930	987	5379	11.49830315
042_Bacillus_thuringiensis_NMTD81_DDA100_5376	593650.0	1.1031242873669478	38550	1031	5324	11.497187266666666
044_Bacillus_velezensis_GBSW11_DDA100_5380	624476.0	1.0992241633633475	38774	1027	5333	11.498418816666666
045_Burkholderia_cepacia_DSM50181_DDA100_5284	3230531.0	1.0600379199739272	38046	969	5402	11.497961966666667
046_Bacillus_velezensis_DSM23117_DDA100_5338	2469626.5	1.075803727131443	38479	998	5365	11.498143516666666
048_Bacillus_wiedmannii_GBSC29_DDA100_5368	2320880.0	1.0778881952827988	38528	1000	5360	11.497109733333334
050_Bacillus_wiedmannii_GBSC45_DDA100_5372	1385143.5	1.081332774761775	38849	1006	5353	11.497420233333335
051_Campylobacter_coli_DSM4689_DDA100_5278	599350.0	1.1172520493314746	37510	1032	5321	11.498277816666667
052_Bacillus_wiedmannii_LLCG23_DDA100_5374	1080612.0	1.097201599449805	38175	1016	5359	11.497397916666667
053_Campylobacter_coli_DSM24132_DDA100_5288	598410.5	1.130218834771636	35958	1032	5322	11.498030983333333
054_Bacillus_wiedmannii_NMSL88_DDA100_5366	1820587.0	1.0806540918607088	38598	1004	5355	11.497038616666666
056_Campylobacter_jejuni_DSM24114_DDA100_5292	2522120.0	1.0749153139739354	36954	991	5376	11.497195616666666
057_Bacillus_wiedmannii_NMSW23_DDA100_5382	2157281.5	1.0775234552217243	38556	1002	5359	11.497486316666668
058_Burkholderia_cepacia_DSM7288_DDA100_5356	4495591.0	1.0443763982058323	39227	967	5403	11.498208216666665
060_Citrobacter_freundii_DSM30039_DDA100_5350	2166845.0	1.0640469665567764	40740	1007	5352	11.498632566666666
062_Enterobacter_quasiroggenkampii_E34_DDA100_5328	1450542.5	1.0840799636873877	39038	1006	5353	11.497694666666666
067_Clostridioides_difficile_DSM12056_DDA100_5304	3050144.0	1.0565351808786037	38131	986	5379	11.497054283333334
068_Bordetella_pertussis_DSM4924_DDA100_5254	1564447.0	1.0872619624883837	38808	1008	5354	11.49849925
074_Brevundimonas_intermedia_DSM4732_DDA100_5252	6435671.5	1.0155364896520669	40932	952	5423	11.497585866666666
075_Clostridium_perfringens_DSM756_DDA100_5266	1787815.5	1.0798617847545622	37323	1002	5366	11.498329716666666
077_Clostridium_perfringens_DSM798_DDA100_5306	1330556.0	1.0856332585927302	37078	1008	5351	11.497412233333334
