sample_id	Identified_proteins	Identified_peptides	Median_precursor_mass_error_ppm	Median_precursor_mass_error_ppm_signed	Pct_charge_2plus	Pct_charge_3plus	Pct_zero_missed_cleavages	Identified_precursors	Median_RT_FWHM	Median_IM_FWHM
072_Brevundimonas_diminuta_DSM1635_DDA100_4440	1478	7651	1.5503253859398254	0.0	68.42950004012519	27.86293234892866	88.39579488002568	9203	5.8630004	0.020000001
074_Brevundimonas_intermedia_DSM4732_DDA100_5252	1279	5317	1.610073943677962	0.08301549467605031	73.51363188437534	23.168728785722106	87.90101828533888	6378	5.8630004	0.020000001
075_Clostridium_perfringens_DSM756_DDA100_5266	1261	8643	1.5588612207010533	0.05002571571916544	73.34675643365004	24.12382810042157	84.89272006543762	10492	5.8630004	0.020000001
076_Brevundimonas_vesicularis_DSM7226_DDA100_4446	1803	11317	1.5749696803730946	0.06634711831513215	70.2269129287599	25.926121372031663	87.85224274406332	13649	5.8630004	0.020000001
077_Clostridium_perfringens_DSM798_DDA100_5306	1107	7151	1.475143083482233	0.07836263468969651	76.61016949152543	21.119432400473	86.84272763106031	8440	5.8630004	0.020000001
078_Brevundimonas_vesicularis_DSM108136_DDA100_4454	1514	8421	1.5847045165240838	0.09106830313978921	71.11816578483246	25.09347442680776	86.87830687830687	10214	5.8630004	0.020000001
079_Clostridium_tetani_DSM11744_DDA100_5312	1047	6900	1.5820672503096014	0.09041060022663486	76.91238966982674	20.27623406341942	85.27296502124877	8112	5.8630004	0.020000001
080_Clostridium_tetani_DSM11745_DDA100_5262	1028	6801	1.5688089207940763	0.09661212670583806	78.75133316925096	18.656165395028303	86.1268356715071	7910	5.8630004	0.020000001
082_Cutibacterium_acnes_ssp_acnes_DSM1897_DDA100_5258	1303	8427	1.4743842311168114	0.0	68.25025960539979	27.641484942886812	88.66822429906543	10519	5.8630004	0.020000001
083_Cutibacterium_acnes_ssp_acnes_DSM16379_DDA100_5260	1330	9437	1.428709813077968	0.0	66.92867198498358	28.806898169873296	89.01923979352416	11868	5.8630004	0.020000001
084_Cutibacterium_acnes_ssp_acnes_DSM108415_DDA100_5264	1284	7797	1.502970734379306	0.0708389886459269	67.59664098827122	28.183774030120063	88.65986536192658	9804	5.8630004	0.020000001
085_Cutibacterium_granulosum_DSM20700_DDA100_5308	1260	8097	1.5004538873009083	0.06024731522901511	67.2449182281666	27.85539296828445	89.29351784413693	10181	5.8630004	0.020000001
086_Cutibacterium_granulosum_DSM20458_DDA100_5310	1259	8486	1.4871870307842903	0.059386548827917385	66.80404404662245	28.77197501448902	89.24592697533646	10534	5.8630004	0.020000001
088_Escherichia_coli_DSM682_DDA100_6510	1737	10300	1.4470751639264834	0.053275454879152626	73.58044618666052	22.839684095232606	83.97417420879691	12477	5.8630004	0.020000001
092_Helicobacter_pylori_DSM7492_DDA100_5272	873	5423	1.452346958512086	0.17674539613592144	76.96765356653673	20.366663154567487	86.87177325887683	6382	5.8630004	0.020000001
093_Helicobacter_pylori_DSM10242_DDA100_5270	889	5644	1.3704516195403378	0.15739716711856705	77.11608537220198	20.239458615304528	89.06819364914107	6648	5.8630004	0.020000001
098_Klebsiella_quasipneumoniae_ssp_similipneumoniae_DSM28212_DDA100_4372	1831	10268	1.5557965450524418	0.07326281891258045	71.96943180492357	23.748687434371718	87.7727219694318	12432	5.8630004	0.020000001
