sample_id	Identified_proteins	Identified_peptides	Median_precursor_mass_error_ppm	Median_precursor_mass_error_ppm_signed	Pct_charge_2plus	Pct_charge_3plus	Pct_zero_missed_cleavages	Identified_precursors	Median_RT_FWHM	Median_IM_FWHM	MS1_TIC_median	MS1_TIC_CV	MS2_precursor_events	MS1_frames	MS2_frames	Gradient_min	Total.Protein.Number.Ref	MS1_TIC_CV_pct	Protein.Identification.Rate
064_Bacteroides_fragilis_DSM2151_DDA100_4328	1377	9665	1.4278617089220078	0.0	72.96303464292626	23.85007418876201	89.9554867427908	11424	5.8630004	0.020000001	1371896.0	1.1030812400422	36906	1026	5332	11.497262383333332	4409	110.30812400422	31.231571784985256
066_Bordetella_pertussis_DSM5571_DDA100_4442	1240	7001	1.4286608219200003	0.1819726103925467	72.75182284634081	23.476460527500222	88.74786209379782	8197	5.8630004	0.020000001	684637.0	1.096853446885078	39490	1037	5315	11.497289333333333	3258	109.6853446885078	38.06015960712094
067_Clostridioides_difficile_DSM12056_DDA100_5304	1242	8423	1.5978960519366483	0.0	74.37841530054645	22.02185792349727	83.95491803278688	10040	5.8630004	0.020000001	3050144.0	1.0565351808786037	38131	986	5379	11.497054283333334	3762	105.65351808786036	33.014354066985646
068_Bordetella_pertussis_DSM4924_DDA100_5254	1487	9265	1.453219179199202	0.0	73.80841277248183	22.905139657356177	89.31404573028465	11014	5.8630004	0.020000001	1564447.0	1.0872619624883837	38808	1008	5354	11.49849925	3258	108.72619624883836	45.6414978514426
070_Brevundimonas_diminuta_DSM7234_DDA100_4450	1429	7238	1.5731427220929968	0.0969462418546979	68.89380168672726	27.34790796692049	87.26766560222714	8758	5.8630004	0.020000001	3079773.0	1.042815348505953	41139	999	5362	11.498268533333334	3128	104.2815348505953	45.68414322250639
072_Brevundimonas_diminuta_DSM1635_DDA100_4440	1478	7651	1.5503253859398254	0.0	68.42950004012519	27.86293234892866	88.39579488002568	9203	5.8630004	0.020000001	4334265.0	1.0364824860128343	40840	977	5391	11.49793625	3128	103.64824860128343	47.250639386189256
074_Brevundimonas_intermedia_DSM4732_DDA100_5252	1279	5317	1.610073943677962	0.0830154946760503	73.51363188437534	23.168728785722102	87.90101828533888	6378	5.8630004	0.020000001	6435671.5	1.0155364896520669	40932	952	5423	11.497585866666666	3176	101.55364896520669	40.27078085642317
075_Clostridium_perfringens_DSM756_DDA100_5266	1261	8643	1.5588612207010533	0.0500257157191654	73.34675643365004	24.12382810042157	84.89272006543762	10492	5.8630004	0.020000001	1787815.5	1.0798617847545622	37323	1002	5366	11.498329716666666	2873	107.98617847545621	43.89140271493213
076_Brevundimonas_vesicularis_DSM7226_DDA100_4446	1803	11317	1.5749696803730946	0.0663471183151321	70.2269129287599	25.926121372031663	87.85224274406332	13649	5.8630004	0.020000001	3290770.0	1.0516227589046767	42213	998	5365	11.497863283333334	3269	105.16227589046767	55.15448149281126
077_Clostridium_perfringens_DSM798_DDA100_5306	1107	7151	1.475143083482233	0.0783626346896965	76.61016949152543	21.119432400473	86.84272763106031	8440	5.8630004	0.020000001	1330556.0	1.0856332585927302	37078	1008	5351	11.497412233333334	2721	108.56332585927302	40.683572216097026
